mouse_num,treatment,tumor_vol,day,first_non_zero_tumor_vol,normalized_tumor_vol
34559,VS-4718,84.24,23,84.24,1
34559,VS-4718,136.53,26,84.24,1.6207264957264957
34561,VS-4718,38.24,18,38.24,1
34561,VS-4718,128.23,21,38.24,3.3532949790794975
34561,VS-4718,177.57,23,38.24,4.643566945606694
34561,VS-4718,523.45,26,38.24,13.688546025104603
34561,VS-4718,1421.07,28,38.24,37.16187238493723
34561,VS-4718,2113.29,29,38.24,55.26385983263598
34562,VS-4718,326.9,19,326.9,1
34562,VS-4718,243.81,21,326.9,0.7458244111349037
34562,VS-4718,305.93,23,326.9,0.9358519424900582
34562,VS-4718,1147.06,24,326.9,3.5089018048332825
34564,VS-4718,0,7,70.3,0
34564,VS-4718,70.3,9,70.3,1
34564,VS-4718,336.15,12,70.3,4.781650071123755
34564,VS-4718,453.73,14,70.3,6.454196301564723
34565,VS-4718,0,6,,
34665,VS-4718,0,22,,
34667,VS-4718,39.52,24,39.52,1
34667,VS-4718,86.4,26,39.52,2.186234817813765
34667,VS-4718,168.94,29,39.52,4.274797570850202
34667,VS-4718,241.11,31,39.52,6.100961538461538
34667,VS-4718,237.3,32,39.52,6.004554655870445
34667,VS-4718,443.23,33,39.52,11.215334008097166
34667,VS-4718,1530.7,35,39.52,38.73228744939271
34667,VS-4718,2086.03,36,39.52,52.78415991902834
34887,VS-4718,259.92,25,259.92,1
34887,VS-4718,347.52,26,259.92,1.3370267774699907
34887,VS-4718,368.87,28,259.92,1.419167436134195
34887,VS-4718,247.2,29,259.92,0.9510618651892889
34887,VS-4718,572.66,31,259.92,2.2032163742690054
34887,VS-4718,654.19,32,259.92,2.5168898122499233
34887,VS-4718,958.38,33,259.92,3.6872114496768233
34887,VS-4718,1275.05,34,259.92,4.9055478608802705
34889,VS-4718,0,34,,
34891,VS-4718,0,34,,
34892,VS-4718,0,25,50.85,0
34892,VS-4718,50.85,26,50.85,1
34892,VS-4718,208.08,27,50.85,4.092035398230089
34892,VS-4718,281.42,28,50.85,5.5343166175024585
34892,VS-4718,281.42,28,50.85,5.5343166175024585
34892,VS-4718,414.96000000000004,29,50.85,8.16047197640118
34892,VS-4718,414.96000000000004,29,50.85,8.16047197640118
34892,VS-4718,1043.36,31,50.85,20.518387413962632
34892,VS-4718,2785.1800000000003,32,50.85,54.77246804326451
34892,VS-4718,2785.1800000000003,32,50.85,54.77246804326451
34892,VS-4718,3266.91,33,50.85,64.24601769911504
