line_name,sample_id,Live Cells,Live CD45,xT Cell,tcell_% Live,tcell_% Live CD45,xCD4,cd4_% Live,cd4_% Live CD45,cd4_% T Cell,xCD4 PD1+,cd4-pd1_% Live,cd4-pd1_% Live CD45,cd4-pd1_% T Cell,cd4-pd1_% CD4,xCD8,cd8_% Live,cd8_% Live CD45,cd8_% T Cell,xCD8 PD1,cd8-pd1_% Live,cd8-pd1_% Live CD45,cd8-pd1_% T Cell,cd8-pd1_% CD8
pten_null,34414-00,,158628,4682,,2.951559624,1251,,0.788637567,26.7193507,919,,0.579342865,19.62836395,73.46123102,804,,0.506846206,17.17214865,712,,0.448848879,15.20717642,88.55721393
pten_null,34418-30,,140745,3801,,2.700628797,1331,,0.945681907,35.01710076,902,,0.640875342,23.73059721,67.76859504,350,,0.248676685,9.208103131,282,,0.200362357,7.419100237,80.57142857
pten_null,34466-01,,11000,271,,2.463636364,176,,1.6,64.94464945,140,,1.272727273,51.66051661,79.54545455,42,,0.381818182,15.49815498,32,,0.290909091,11.80811808,76.19047619
pten_null,34468-10,,67059,4471,,6.667263156,1474,,2.198064391,32.9680161,1063,,1.585171267,23.77544174,72.11668928,497,,0.741138401,11.11608141,457,,0.681489435,10.22142697,91.95171026
pten_null,34470-30,,8038,424,,5.274944016,228,,2.836526499,53.77358491,186,,2.31400846,43.86792453,81.57894737,94,,1.169445136,22.16981132,79,,0.98283155,18.63207547,84.04255319
ndel,34469-00,,71303,3031,,4.250873035,647,,0.907395201,21.3460904,186,,0.260858589,6.136588585,28.74806801,350,,0.490862937,11.54734411,236,,0.330981866,7.786209172,67.42857143
ndel,34471-01,,62692,1708,,2.724430549,362,,0.577426147,21.19437939,188,,0.299878772,11.00702576,51.93370166,261,,0.416321062,15.28103044,179,,0.285522874,10.48009368,68.58237548
ndel,34472-01,,40546,352,,0.868149756,247,,0.60918463,70.17045455,188,,0.463670892,53.40909091,76.11336032,33,,0.08138904,9.375,22,,0.05425936,6.25,66.66666667
ndel,34504-10,,91703,5305,,5.784979772,1145,,1.248596011,21.58341188,229,,0.249719202,4.316682375,20,520,,0.56704797,9.802073516,312,,0.340228782,5.881244109,60
ndel,34505-33,,94334,3612,,3.828948205,1138,,1.206351899,31.50609081,575,,0.609536328,15.91915836,50.52724077,414,,0.438866156,11.46179402,303,,0.321199143,8.388704319,73.1884058
ndel,34515-00,,7439,368,,4.946901465,137,,1.841645382,37.22826087,56,,0.752789353,15.2173913,40.87591241,112,,1.505578707,30.43478261,78,,1.048528028,21.19565217,69.64285714
ndel,34516-00,,97888,4400,,4.494932985,1670,,1.706031383,37.95454545,936,,0.956194835,21.27272727,56.04790419,218,,0.222703498,4.954545455,116,,0.118502779,2.636363636,53.21100917
ndel,34473-03,,79532,606,,0.761957451,224,,0.281647639,36.96369637,205,,0.257757884,33.82838284,91.51785714,75,,0.094301665,12.37623762,70,,0.088014887,11.55115512,93.33333333
ndel,34474-10,,67301,6059,,9.002837996,1334,,1.982139938,22.01683446,503,,0.747388597,8.30169995,37.70614693,854,,1.268926168,14.0947351,688,,1.022273072,11.35500908,80.56206089
ndel,34475-30,,59600,1194,,2.003355705,233,,0.390939597,19.51423786,130,,0.218120805,10.88777219,55.79399142,211,,0.354026846,17.67169179,176,,0.295302013,14.74036851,83.41232227
y397e,34508-00,,34478,65,,0.188526017,4,,0.011601601,6.153846154,4,,0.011601601,6.153846154,100,15,,0.043506004,23.07692308,15,,0.043506004,23.07692308,100
y397e,34509-00,,105013,471,,0.448515898,66,,0.062849362,14.01273885,56,,0.053326731,11.8895966,84.84848485,65,,0.061897098,13.80042463,63,,0.059992572,13.37579618,96.92307692
y397e,34510-00,,100940,3048,,3.019615613,496,,0.491381018,16.27296588,396,,0.392312265,12.99212598,79.83870968,316,,0.313057262,10.36745407,290,,0.287299386,9.514435696,91.7721519
y397e,34514-00,,91433,5269,,5.76268962,156,,0.170616736,2.960713608,87,,0.095151641,1.651167204,55.76923077,636,,0.695591307,12.07060163,551,,0.60262706,10.45739229,86.63522013
y397e,34521-00,,147021,2617,,1.780017821,1225,,0.833214303,46.80932365,850,,0.5781487,32.47993886,69.3877551,192,,0.130593589,7.336645013,123,,0.083661518,4.700038212,64.0625
akt1,34859-00,,33353,981,,2.941264654,158,,0.620633826,21.10091743,158,,0.473720505,16.10601427,11.62079511,183,,0.548676281,21.10091743,114,,867.2608696,76.32850242,62.29508197
akt1,34860-00,,92541,1880,,2.03153197,332,,0.713197394,35.10638298,332,,0.358759901,17.65957447,1.382978723,86,,0.092931782,35.10638298,26,,244.969697,50.3030303,30.23255814
akt1,34861-00,,27504,675,,2.454188482,158,,0.810791158,33.03703704,158,,0.574461896,23.40740741,2.962962963,39,,0.141797557,33.03703704,20,,118.0493274,70.85201794,51.28205128
akt1,34862-10,,42836,191,,0.445886637,60,,0.154076011,34.55497382,60,,0.140069101,31.41361257,24.60732984,66,,0.154076011,34.55497382,47,,191,90.90909091,71.21212121
akt1,34863-00,,140508,354,,0.25194295,34,,0.064764996,25.70621469,34,,0.02419791,9.604519774,10.4519774,106,,0.075440544,25.70621469,37,,412.3516484,37.36263736,34.90566038
akt1,34868-00,,62938,2011,,3.195207982,1404,,2.697893165,84.43560418,1404,,2.230766786,69.81601193,1.044256589,29,,0.046077092,84.43560418,21,,34.34570082,82.68551237,72.4137931
akt1,34869-00,,5940,456,,7.676767677,27,,1.481481481,19.29824561,27,,0.454545455,5.921052632,0.219298246,12,,0.202020202,19.29824561,1,,62.18181818,30.68181818,8.333333333
akt1,34870-03,,61556,1161,,1.886087465,163,,0.467866658,24.80620155,163,,0.264799532,14.03962102,6.976744186,153,,0.248554162,24.80620155,81,,616.78125,56.59722222,52.94117647
akt1,34871-00,,42529,970,,2.280796633,101,,0.670130969,29.3814433,101,,0.23748501,10.41237113,1.237113402,67,,0.157539561,29.3814433,12,,228.0350877,35.43859649,17.91044776
akt1,34864-00,,74964,5647,,7.532949149,1748,,3.418974441,45.38693111,1748,,2.331785924,30.95448911,5.347972375,367,,0.489568326,45.38693111,302,,808.6028092,68.20132657,82.28882834
