line_name,sample_id,Live Cells,Live CD45,xT Cell,tcell_% Live,tcell_% Live CD45,xCD4,cd4_% Live,cd4_% Live CD45,cd4_% T Cell,xCD4 PD1+,cd4-pd1_% Live,cd4-pd1_% Live CD45,cd4-pd1_% T Cell,cd4-pd1_% CD4,xCD8,cd8_% Live,cd8_% Live CD45,cd8_% T Cell,xCD8 PD1,cd8-pd1_% Live,cd8-pd1_% Live CD45,cd8-pd1_% T Cell,cd8-pd1_% CD8
pten_null,34414-00,842383,158628,4261,0.505826922,2.686158812,1351,0.160378355,0.85167814,31.70617226,1048,0.124408968,0.660665204,24.59516545,77.57216876,756,0.089745401,0.476586731,17.74231401,660,0.078349159,0.416067781,15.48932176,87.3015873
pten_null,34418-30,671998,140745,3435,0.511162236,2.440584035,1393,0.207292284,0.989733205,40.55312955,1051,0.156399275,0.746740559,30.59679767,75.44867193,335,0.049851339,0.238019113,9.752547307,261,0.038839401,0.185441756,7.598253275,77.91044776
pten_null,34466-01,87738,11000,227,0.25872484,2.063636364,156,0.177802093,1.418181818,68.72246696,129,0.147028653,1.172727273,56.82819383,82.69230769,32,0.036472224,0.290909091,14.0969163,22,0.025074654,0.2,9.691629956,68.75
pten_null,34468-10,504671,67059,3926,0.777932554,5.854545997,1249,0.247487967,1.862538958,31.81355069,959,0.190024788,1.430083956,24.42689761,76.78142514,449,0.088968853,0.669559642,11.43657667,412,0.081637344,0.614384348,10.49414162,91.75946548
pten_null,34470-30,143748,8038,395,0.274786432,4.914157751,232,0.16139355,2.886290122,58.73417722,194,0.134958399,2.413535705,49.11392405,83.62068966,74,0.051478977,0.920627022,18.73417722,58,0.040348387,0.72157253,14.6835443,78.37837838
ndel,34469-00,496528,71303,2310,0.465230561,3.239695384,385,0.077538427,0.539949231,16.66666667,137,0.027591596,0.192137778,5.930735931,35.58441558,327,0.065857313,0.45860623,14.15584416,232,0.046724455,0.325372004,10.04329004,70.94801223
ndel,34471-01,213502,40546,374,0.175174003,0.922409116,296,0.138640387,0.730035022,79.14438503,227,0.106322189,0.559857939,60.69518717,76.68918919,36,0.016861669,0.088788043,9.625668449,23,0.010772733,0.056725694,6.14973262,63.88888889
ndel,34472-01,392311,62692,1306,0.332899154,2.083200408,221,0.056332858,0.352517068,16.92189893,117,0.029823278,0.186626683,8.958652374,52.94117647,220,0.056077959,0.350921968,16.84532925,132,0.033646775,0.210553181,10.10719755,60
ndel,34504-10,518644,91703,3835,0.739428201,4.181978779,578,0.111444459,0.630295628,15.07170795,196,0.037790855,0.213733466,5.110821382,33.9100346,559,0.10778106,0.609576568,14.57627119,357,0.068833342,0.389300241,9.308996089,63.86404293
ndel,34505-33,568310,94334,2881,0.506941634,3.054042021,728,0.128099101,0.771725995,25.26900382,395,0.06950432,0.418724956,13.71051718,54.25824176,351,0.061762066,0.372082176,12.1832697,243,0.042758354,0.257595353,8.434571329,69.23076923
