date,type,pp_num,index,holiday,wkday,workday
2023-01-01T00:00:00Z,pp_start,1,1,NA,Sun,0
2023-01-02T00:00:00Z,NA,1,2,New Year’s Day,Mon,0
2023-01-03T00:00:00Z,NA,1,3,NA,Tue,1
2023-01-04T00:00:00Z,NA,1,4,NA,Wed,1
2023-01-05T00:00:00Z,NA,1,5,NA,Thu,1
2023-01-06T00:00:00Z,NA,1,6,NA,Fri,1
2023-01-07T00:00:00Z,NA,1,7,NA,Sat,0
2023-01-08T00:00:00Z,NA,1,8,NA,Sun,0
2023-01-09T00:00:00Z,NA,1,9,NA,Mon,1
2023-01-10T00:00:00Z,NA,1,10,NA,Tue,1
2023-01-11T00:00:00Z,NA,1,11,NA,Wed,1
2023-01-12T00:00:00Z,NA,1,12,NA,Thu,1
2023-01-13T00:00:00Z,NA,1,13,NA,Fri,1
2023-01-14T00:00:00Z,NA,1,14,NA,Sat,0
2023-01-15T00:00:00Z,NA,1,15,NA,Sun,0
2023-01-16T00:00:00Z,pp_start,2,16,"Martin Luther King, Jr. Day",Mon,0
2023-01-17T00:00:00Z,NA,2,17,NA,Tue,1
2023-01-18T00:00:00Z,NA,2,18,NA,Wed,1
2023-01-19T00:00:00Z,NA,2,19,NA,Thu,1
2023-01-20T00:00:00Z,NA,2,20,NA,Fri,1
2023-01-21T00:00:00Z,NA,2,21,NA,Sat,0
2023-01-22T00:00:00Z,NA,2,22,NA,Sun,0
2023-01-23T00:00:00Z,NA,2,23,NA,Mon,1
2023-01-24T00:00:00Z,NA,2,24,NA,Tue,1
2023-01-25T00:00:00Z,NA,2,25,NA,Wed,1
2023-01-26T00:00:00Z,NA,2,26,NA,Thu,1
2023-01-27T00:00:00Z,NA,2,27,NA,Fri,1
2023-01-28T00:00:00Z,NA,2,28,NA,Sat,0
2023-01-29T00:00:00Z,NA,2,29,NA,Sun,0
2023-01-30T00:00:00Z,NA,2,30,NA,Mon,1
2023-01-31T00:00:00Z,NA,2,31,NA,Tue,1
2023-02-01T00:00:00Z,pp_start,3,32,NA,Wed,1
2023-02-02T00:00:00Z,NA,3,33,NA,Thu,1
2023-02-03T00:00:00Z,NA,3,34,NA,Fri,1
2023-02-04T00:00:00Z,NA,3,35,NA,Sat,0
2023-02-05T00:00:00Z,NA,3,36,NA,Sun,0
2023-02-06T00:00:00Z,NA,3,37,NA,Mon,1
2023-02-07T00:00:00Z,NA,3,38,NA,Tue,1
2023-02-08T00:00:00Z,NA,3,39,NA,Wed,1
2023-02-09T00:00:00Z,NA,3,40,NA,Thu,1
2023-02-10T00:00:00Z,NA,3,41,NA,Fri,1
2023-02-11T00:00:00Z,NA,3,42,NA,Sat,0
2023-02-12T00:00:00Z,NA,3,43,NA,Sun,0
2023-02-13T00:00:00Z,NA,3,44,NA,Mon,1
2023-02-14T00:00:00Z,NA,3,45,NA,Tue,1
2023-02-15T00:00:00Z,NA,3,46,NA,Wed,1
2023-02-16T00:00:00Z,pp_start,4,47,NA,Thu,1
2023-02-17T00:00:00Z,NA,4,48,NA,Fri,1
2023-02-18T00:00:00Z,NA,4,49,NA,Sat,0
2023-02-19T00:00:00Z,NA,4,50,NA,Sun,0
2023-02-20T00:00:00Z,NA,4,51,Presidents’ Day,Mon,0
2023-02-21T00:00:00Z,NA,4,52,NA,Tue,1
2023-02-22T00:00:00Z,NA,4,53,NA,Wed,1
2023-02-23T00:00:00Z,NA,4,54,NA,Thu,1
2023-02-24T00:00:00Z,NA,4,55,NA,Fri,1
2023-02-25T00:00:00Z,NA,4,56,NA,Sat,0
2023-02-26T00:00:00Z,NA,4,57,NA,Sun,0
2023-02-27T00:00:00Z,NA,4,58,NA,Mon,1
2023-02-28T00:00:00Z,NA,4,59,NA,Tue,1
2023-03-01T00:00:00Z,pp_start,5,60,NA,Wed,1
2023-03-02T00:00:00Z,NA,5,61,NA,Thu,1
2023-03-03T00:00:00Z,NA,5,62,NA,Fri,1
2023-03-04T00:00:00Z,NA,5,63,NA,Sat,0
2023-03-05T00:00:00Z,NA,5,64,NA,Sun,0
2023-03-06T00:00:00Z,NA,5,65,NA,Mon,1
2023-03-07T00:00:00Z,NA,5,66,NA,Tue,1
2023-03-08T00:00:00Z,NA,5,67,NA,Wed,1
2023-03-09T00:00:00Z,NA,5,68,NA,Thu,1
2023-03-10T00:00:00Z,NA,5,69,NA,Fri,1
2023-03-11T00:00:00Z,NA,5,70,NA,Sat,0
2023-03-12T00:00:00Z,NA,5,71,NA,Sun,0
2023-03-13T00:00:00Z,NA,5,72,NA,Mon,1
2023-03-14T00:00:00Z,NA,5,73,NA,Tue,1
2023-03-15T00:00:00Z,NA,5,74,NA,Wed,1
2023-03-16T00:00:00Z,pp_start,6,75,NA,Thu,1
2023-03-17T00:00:00Z,NA,6,76,NA,Fri,1
2023-03-18T00:00:00Z,NA,6,77,NA,Sat,0
2023-03-19T00:00:00Z,NA,6,78,NA,Sun,0
2023-03-20T00:00:00Z,NA,6,79,NA,Mon,1
2023-03-21T00:00:00Z,NA,6,80,NA,Tue,1
2023-03-22T00:00:00Z,NA,6,81,NA,Wed,1
2023-03-23T00:00:00Z,NA,6,82,NA,Thu,1
2023-03-24T00:00:00Z,NA,6,83,NA,Fri,1
2023-03-25T00:00:00Z,NA,6,84,NA,Sat,0
2023-03-26T00:00:00Z,NA,6,85,NA,Sun,0
2023-03-27T00:00:00Z,NA,6,86,NA,Mon,1
2023-03-28T00:00:00Z,NA,6,87,NA,Tue,1
2023-03-29T00:00:00Z,NA,6,88,NA,Wed,1
2023-03-30T00:00:00Z,NA,6,89,NA,Thu,1
2023-03-31T00:00:00Z,NA,6,90,NA,Fri,1
2023-04-01T00:00:00Z,pp_start,7,91,NA,Sat,0
2023-04-02T00:00:00Z,NA,7,92,NA,Sun,0
2023-04-03T00:00:00Z,NA,7,93,NA,Mon,1
2023-04-04T00:00:00Z,NA,7,94,NA,Tue,1
2023-04-05T00:00:00Z,NA,7,95,NA,Wed,1
2023-04-06T00:00:00Z,NA,7,96,NA,Thu,1
2023-04-07T00:00:00Z,NA,7,97,NA,Fri,1
2023-04-08T00:00:00Z,NA,7,98,NA,Sat,0
2023-04-09T00:00:00Z,NA,7,99,NA,Sun,0
2023-04-10T00:00:00Z,NA,7,100,NA,Mon,1
2023-04-11T00:00:00Z,NA,7,101,NA,Tue,1
2023-04-12T00:00:00Z,NA,7,102,NA,Wed,1
2023-04-13T00:00:00Z,NA,7,103,NA,Thu,1
2023-04-14T00:00:00Z,NA,7,104,NA,Fri,1
2023-04-15T00:00:00Z,NA,7,105,NA,Sat,0
2023-04-16T00:00:00Z,pp_start,8,106,NA,Sun,0
2023-04-17T00:00:00Z,NA,8,107,NA,Mon,1
2023-04-18T00:00:00Z,NA,8,108,NA,Tue,1
2023-04-19T00:00:00Z,NA,8,109,NA,Wed,1
2023-04-20T00:00:00Z,NA,8,110,NA,Thu,1
2023-04-21T00:00:00Z,NA,8,111,NA,Fri,1
2023-04-22T00:00:00Z,NA,8,112,NA,Sat,0
2023-04-23T00:00:00Z,NA,8,113,NA,Sun,0
2023-04-24T00:00:00Z,NA,8,114,NA,Mon,1
2023-04-25T00:00:00Z,NA,8,115,NA,Tue,1
2023-04-26T00:00:00Z,NA,8,116,NA,Wed,1
2023-04-27T00:00:00Z,NA,8,117,NA,Thu,1
2023-04-28T00:00:00Z,NA,8,118,NA,Fri,1
2023-04-29T00:00:00Z,NA,8,119,NA,Sat,0
2023-04-30T00:00:00Z,NA,8,120,NA,Sun,0
2023-05-01T00:00:00Z,pp_start,9,121,NA,Mon,1
2023-05-02T00:00:00Z,NA,9,122,NA,Tue,1
2023-05-03T00:00:00Z,NA,9,123,NA,Wed,1
2023-05-04T00:00:00Z,NA,9,124,NA,Thu,1
2023-05-05T00:00:00Z,NA,9,125,NA,Fri,1
2023-05-06T00:00:00Z,NA,9,126,NA,Sat,0
2023-05-07T00:00:00Z,NA,9,127,NA,Sun,0
2023-05-08T00:00:00Z,NA,9,128,NA,Mon,1
2023-05-09T00:00:00Z,NA,9,129,NA,Tue,1
2023-05-10T00:00:00Z,NA,9,130,NA,Wed,1
2023-05-11T00:00:00Z,NA,9,131,NA,Thu,1
2023-05-12T00:00:00Z,NA,9,132,NA,Fri,1
2023-05-13T00:00:00Z,NA,9,133,NA,Sat,0
2023-05-14T00:00:00Z,NA,9,134,NA,Sun,0
2023-05-15T00:00:00Z,NA,9,135,NA,Mon,1
2023-05-16T00:00:00Z,pp_start,10,136,NA,Tue,1
2023-05-17T00:00:00Z,NA,10,137,NA,Wed,1
2023-05-18T00:00:00Z,NA,10,138,NA,Thu,1
2023-05-19T00:00:00Z,NA,10,139,NA,Fri,1
2023-05-20T00:00:00Z,NA,10,140,NA,Sat,0
2023-05-21T00:00:00Z,NA,10,141,NA,Sun,0
2023-05-22T00:00:00Z,NA,10,142,NA,Mon,1
2023-05-23T00:00:00Z,NA,10,143,NA,Tue,1
2023-05-24T00:00:00Z,NA,10,144,NA,Wed,1
2023-05-25T00:00:00Z,NA,10,145,NA,Thu,1
2023-05-26T00:00:00Z,NA,10,146,NA,Fri,1
2023-05-27T00:00:00Z,NA,10,147,NA,Sat,0
2023-05-28T00:00:00Z,NA,10,148,NA,Sun,0
2023-05-29T00:00:00Z,NA,10,149,Memorial Day,Mon,0
2023-05-30T00:00:00Z,NA,10,150,NA,Tue,1
2023-05-31T00:00:00Z,NA,10,151,NA,Wed,1
2023-06-01T00:00:00Z,pp_start,11,152,NA,Thu,1
2023-06-02T00:00:00Z,NA,11,153,NA,Fri,1
2023-06-03T00:00:00Z,NA,11,154,NA,Sat,0
2023-06-04T00:00:00Z,NA,11,155,NA,Sun,0
2023-06-05T00:00:00Z,NA,11,156,NA,Mon,1
2023-06-06T00:00:00Z,NA,11,157,NA,Tue,1
2023-06-07T00:00:00Z,NA,11,158,NA,Wed,1
2023-06-08T00:00:00Z,NA,11,159,NA,Thu,1
2023-06-09T00:00:00Z,NA,11,160,NA,Fri,1
2023-06-10T00:00:00Z,NA,11,161,NA,Sat,0
2023-06-11T00:00:00Z,NA,11,162,NA,Sun,0
2023-06-12T00:00:00Z,NA,11,163,NA,Mon,1
2023-06-13T00:00:00Z,NA,11,164,NA,Tue,1
2023-06-14T00:00:00Z,NA,11,165,NA,Wed,1
2023-06-15T00:00:00Z,NA,11,166,NA,Thu,1
2023-06-16T00:00:00Z,pp_start,12,167,NA,Fri,1
2023-06-17T00:00:00Z,NA,12,168,NA,Sat,0
2023-06-18T00:00:00Z,NA,12,169,NA,Sun,0
2023-06-19T00:00:00Z,NA,12,170,Juneteenth*,Mon,0
2023-06-20T00:00:00Z,NA,12,171,NA,Tue,1
2023-06-21T00:00:00Z,NA,12,172,NA,Wed,1
2023-06-22T00:00:00Z,NA,12,173,NA,Thu,1
2023-06-23T00:00:00Z,NA,12,174,NA,Fri,1
2023-06-24T00:00:00Z,NA,12,175,NA,Sat,0
2023-06-25T00:00:00Z,NA,12,176,NA,Sun,0
2023-06-26T00:00:00Z,NA,12,177,NA,Mon,1
2023-06-27T00:00:00Z,NA,12,178,NA,Tue,1
2023-06-28T00:00:00Z,NA,12,179,NA,Wed,1
2023-06-29T00:00:00Z,NA,12,180,NA,Thu,1
2023-06-30T00:00:00Z,NA,12,181,NA,Fri,1
2023-07-01T00:00:00Z,pp_start,13,182,NA,Sat,0
2023-07-02T00:00:00Z,NA,13,183,NA,Sun,0
2023-07-03T00:00:00Z,NA,13,184,NA,Mon,1
2023-07-04T00:00:00Z,NA,13,185,Independence Day,Tue,0
2023-07-05T00:00:00Z,NA,13,186,NA,Wed,1
2023-07-06T00:00:00Z,NA,13,187,NA,Thu,1
2023-07-07T00:00:00Z,NA,13,188,NA,Fri,1
2023-07-08T00:00:00Z,NA,13,189,NA,Sat,0
2023-07-09T00:00:00Z,NA,13,190,NA,Sun,0
2023-07-10T00:00:00Z,NA,13,191,NA,Mon,1
2023-07-11T00:00:00Z,NA,13,192,NA,Tue,1
2023-07-12T00:00:00Z,NA,13,193,NA,Wed,1
2023-07-13T00:00:00Z,NA,13,194,NA,Thu,1
2023-07-14T00:00:00Z,NA,13,195,NA,Fri,1
2023-07-15T00:00:00Z,NA,13,196,NA,Sat,0
2023-07-16T00:00:00Z,pp_start,14,197,NA,Sun,0
2023-07-17T00:00:00Z,NA,14,198,NA,Mon,1
2023-07-18T00:00:00Z,NA,14,199,NA,Tue,1
2023-07-19T00:00:00Z,NA,14,200,NA,Wed,1
2023-07-20T00:00:00Z,NA,14,201,NA,Thu,1
2023-07-21T00:00:00Z,NA,14,202,NA,Fri,1
2023-07-22T00:00:00Z,NA,14,203,NA,Sat,0
2023-07-23T00:00:00Z,NA,14,204,NA,Sun,0
2023-07-24T00:00:00Z,NA,14,205,Pioneer Day,Mon,0
2023-07-25T00:00:00Z,NA,14,206,NA,Tue,1
2023-07-26T00:00:00Z,NA,14,207,NA,Wed,1
2023-07-27T00:00:00Z,NA,14,208,NA,Thu,1
2023-07-28T00:00:00Z,NA,14,209,NA,Fri,1
2023-07-29T00:00:00Z,NA,14,210,NA,Sat,0
2023-07-30T00:00:00Z,NA,14,211,NA,Sun,0
2023-07-31T00:00:00Z,NA,14,212,NA,Mon,1
2023-08-01T00:00:00Z,pp_start,15,213,NA,Tue,1
2023-08-02T00:00:00Z,NA,15,214,NA,Wed,1
2023-08-03T00:00:00Z,NA,15,215,NA,Thu,1
2023-08-04T00:00:00Z,NA,15,216,NA,Fri,1
2023-08-05T00:00:00Z,NA,15,217,NA,Sat,0
2023-08-06T00:00:00Z,NA,15,218,NA,Sun,0
2023-08-07T00:00:00Z,NA,15,219,NA,Mon,1
2023-08-08T00:00:00Z,NA,15,220,NA,Tue,1
2023-08-09T00:00:00Z,NA,15,221,NA,Wed,1
2023-08-10T00:00:00Z,NA,15,222,NA,Thu,1
2023-08-11T00:00:00Z,NA,15,223,NA,Fri,1
2023-08-12T00:00:00Z,NA,15,224,NA,Sat,0
2023-08-13T00:00:00Z,NA,15,225,NA,Sun,0
2023-08-14T00:00:00Z,NA,15,226,NA,Mon,1
2023-08-15T00:00:00Z,NA,15,227,NA,Tue,1
2023-08-16T00:00:00Z,pp_start,16,228,NA,Wed,1
2023-08-17T00:00:00Z,NA,16,229,NA,Thu,1
2023-08-18T00:00:00Z,NA,16,230,NA,Fri,1
2023-08-19T00:00:00Z,NA,16,231,NA,Sat,0
2023-08-20T00:00:00Z,NA,16,232,NA,Sun,0
2023-08-21T00:00:00Z,NA,16,233,NA,Mon,1
2023-08-22T00:00:00Z,NA,16,234,NA,Tue,1
2023-08-23T00:00:00Z,NA,16,235,NA,Wed,1
2023-08-24T00:00:00Z,NA,16,236,NA,Thu,1
2023-08-25T00:00:00Z,NA,16,237,NA,Fri,1
2023-08-26T00:00:00Z,NA,16,238,NA,Sat,0
2023-08-27T00:00:00Z,NA,16,239,NA,Sun,0
2023-08-28T00:00:00Z,NA,16,240,NA,Mon,1
2023-08-29T00:00:00Z,NA,16,241,NA,Tue,1
2023-08-30T00:00:00Z,NA,16,242,NA,Wed,1
2023-08-31T00:00:00Z,NA,16,243,NA,Thu,1
2023-09-01T00:00:00Z,pp_start,17,244,NA,Fri,1
2023-09-02T00:00:00Z,NA,17,245,NA,Sat,0
2023-09-03T00:00:00Z,NA,17,246,NA,Sun,0
2023-09-04T00:00:00Z,NA,17,247,Labor Day,Mon,0
2023-09-05T00:00:00Z,NA,17,248,NA,Tue,1
2023-09-06T00:00:00Z,NA,17,249,NA,Wed,1
2023-09-07T00:00:00Z,NA,17,250,NA,Thu,1
2023-09-08T00:00:00Z,NA,17,251,NA,Fri,1
2023-09-09T00:00:00Z,NA,17,252,NA,Sat,0
2023-09-10T00:00:00Z,NA,17,253,NA,Sun,0
2023-09-11T00:00:00Z,NA,17,254,NA,Mon,1
2023-09-12T00:00:00Z,NA,17,255,NA,Tue,1
2023-09-13T00:00:00Z,NA,17,256,NA,Wed,1
2023-09-14T00:00:00Z,NA,17,257,NA,Thu,1
2023-09-15T00:00:00Z,NA,17,258,NA,Fri,1
2023-09-16T00:00:00Z,pp_start,18,259,NA,Sat,0
2023-09-17T00:00:00Z,NA,18,260,NA,Sun,0
2023-09-18T00:00:00Z,NA,18,261,NA,Mon,1
2023-09-19T00:00:00Z,NA,18,262,NA,Tue,1
2023-09-20T00:00:00Z,NA,18,263,NA,Wed,1
2023-09-21T00:00:00Z,NA,18,264,NA,Thu,1
2023-09-22T00:00:00Z,NA,18,265,NA,Fri,1
2023-09-23T00:00:00Z,NA,18,266,NA,Sat,0
2023-09-24T00:00:00Z,NA,18,267,NA,Sun,0
2023-09-25T00:00:00Z,NA,18,268,NA,Mon,1
2023-09-26T00:00:00Z,NA,18,269,NA,Tue,1
2023-09-27T00:00:00Z,NA,18,270,NA,Wed,1
2023-09-28T00:00:00Z,NA,18,271,NA,Thu,1
2023-09-29T00:00:00Z,NA,18,272,NA,Fri,1
2023-09-30T00:00:00Z,NA,18,273,NA,Sat,0
2023-10-01T00:00:00Z,pp_start,19,274,NA,Sun,0
2023-10-02T00:00:00Z,NA,19,275,NA,Mon,1
2023-10-03T00:00:00Z,NA,19,276,NA,Tue,1
2023-10-04T00:00:00Z,NA,19,277,NA,Wed,1
2023-10-05T00:00:00Z,NA,19,278,NA,Thu,1
2023-10-06T00:00:00Z,NA,19,279,NA,Fri,1
2023-10-07T00:00:00Z,NA,19,280,NA,Sat,0
2023-10-08T00:00:00Z,NA,19,281,NA,Sun,0
2023-10-09T00:00:00Z,NA,19,282,NA,Mon,1
2023-10-10T00:00:00Z,NA,19,283,NA,Tue,1
2023-10-11T00:00:00Z,NA,19,284,NA,Wed,1
2023-10-12T00:00:00Z,NA,19,285,NA,Thu,1
2023-10-13T00:00:00Z,NA,19,286,NA,Fri,1
2023-10-14T00:00:00Z,NA,19,287,NA,Sat,0
2023-10-15T00:00:00Z,NA,19,288,NA,Sun,0
2023-10-16T00:00:00Z,pp_start,20,289,NA,Mon,1
2023-10-17T00:00:00Z,NA,20,290,NA,Tue,1
2023-10-18T00:00:00Z,NA,20,291,NA,Wed,1
2023-10-19T00:00:00Z,NA,20,292,NA,Thu,1
2023-10-20T00:00:00Z,NA,20,293,NA,Fri,1
2023-10-21T00:00:00Z,NA,20,294,NA,Sat,0
2023-10-22T00:00:00Z,NA,20,295,NA,Sun,0
2023-10-23T00:00:00Z,NA,20,296,NA,Mon,1
2023-10-24T00:00:00Z,NA,20,297,NA,Tue,1
2023-10-25T00:00:00Z,NA,20,298,NA,Wed,1
2023-10-26T00:00:00Z,NA,20,299,NA,Thu,1
2023-10-27T00:00:00Z,NA,20,300,NA,Fri,1
2023-10-28T00:00:00Z,NA,20,301,NA,Sat,0
2023-10-29T00:00:00Z,NA,20,302,NA,Sun,0
2023-10-30T00:00:00Z,NA,20,303,NA,Mon,1
2023-10-31T00:00:00Z,NA,20,304,NA,Tue,1
2023-11-01T00:00:00Z,pp_start,21,305,NA,Wed,1
2023-11-02T00:00:00Z,NA,21,306,NA,Thu,1
2023-11-03T00:00:00Z,NA,21,307,NA,Fri,1
2023-11-04T00:00:00Z,NA,21,308,NA,Sat,0
2023-11-05T00:00:00Z,NA,21,309,NA,Sun,0
2023-11-06T00:00:00Z,NA,21,310,NA,Mon,1
2023-11-07T00:00:00Z,NA,21,311,NA,Tue,1
2023-11-08T00:00:00Z,NA,21,312,NA,Wed,1
2023-11-09T00:00:00Z,NA,21,313,NA,Thu,1
2023-11-10T00:00:00Z,NA,21,314,NA,Fri,1
2023-11-11T00:00:00Z,NA,21,315,NA,Sat,0
2023-11-12T00:00:00Z,NA,21,316,NA,Sun,0
2023-11-13T00:00:00Z,NA,21,317,NA,Mon,1
2023-11-14T00:00:00Z,NA,21,318,NA,Tue,1
2023-11-15T00:00:00Z,NA,21,319,NA,Wed,1
2023-11-16T00:00:00Z,pp_start,22,320,NA,Thu,1
2023-11-17T00:00:00Z,NA,22,321,NA,Fri,1
2023-11-18T00:00:00Z,NA,22,322,NA,Sat,0
2023-11-19T00:00:00Z,NA,22,323,NA,Sun,0
2023-11-20T00:00:00Z,NA,22,324,NA,Mon,1
2023-11-21T00:00:00Z,NA,22,325,NA,Tue,1
2023-11-22T00:00:00Z,NA,22,326,NA,Wed,1
2023-11-23T00:00:00Z,NA,22,327,Thanksgiving,Thu,0
2023-11-24T00:00:00Z,NA,22,328,Day After Thanksgiving,Fri,0
2023-11-25T00:00:00Z,NA,22,329,NA,Sat,0
2023-11-26T00:00:00Z,NA,22,330,NA,Sun,0
2023-11-27T00:00:00Z,NA,22,331,NA,Mon,1
2023-11-28T00:00:00Z,NA,22,332,NA,Tue,1
2023-11-29T00:00:00Z,NA,22,333,NA,Wed,1
2023-11-30T00:00:00Z,NA,22,334,NA,Thu,1
2023-12-01T00:00:00Z,pp_start,23,335,NA,Fri,1
2023-12-02T00:00:00Z,NA,23,336,NA,Sat,0
2023-12-03T00:00:00Z,NA,23,337,NA,Sun,0
2023-12-04T00:00:00Z,NA,23,338,NA,Mon,1
2023-12-05T00:00:00Z,NA,23,339,NA,Tue,1
2023-12-06T00:00:00Z,NA,23,340,NA,Wed,1
2023-12-07T00:00:00Z,NA,23,341,NA,Thu,1
2023-12-08T00:00:00Z,NA,23,342,NA,Fri,1
2023-12-09T00:00:00Z,NA,23,343,NA,Sat,0
2023-12-10T00:00:00Z,NA,23,344,NA,Sun,0
2023-12-11T00:00:00Z,NA,23,345,NA,Mon,1
2023-12-12T00:00:00Z,NA,23,346,NA,Tue,1
2023-12-13T00:00:00Z,NA,23,347,NA,Wed,1
2023-12-14T00:00:00Z,NA,23,348,NA,Thu,1
2023-12-15T00:00:00Z,NA,23,349,NA,Fri,1
2023-12-16T00:00:00Z,pp_start,24,350,NA,Sat,0
2023-12-17T00:00:00Z,NA,24,351,NA,Sun,0
2023-12-18T00:00:00Z,NA,24,352,NA,Mon,1
2023-12-19T00:00:00Z,NA,24,353,NA,Tue,1
2023-12-20T00:00:00Z,NA,24,354,NA,Wed,1
2023-12-21T00:00:00Z,NA,24,355,NA,Thu,1
2023-12-22T00:00:00Z,NA,24,356,NA,Fri,1
2023-12-23T00:00:00Z,NA,24,357,NA,Sat,0
2023-12-24T00:00:00Z,NA,24,358,NA,Sun,0
2023-12-25T00:00:00Z,NA,24,359,Christmas Day,Mon,0
2023-12-26T00:00:00Z,NA,24,360,NA,Tue,1
2023-12-27T00:00:00Z,NA,24,361,NA,Wed,1
2023-12-28T00:00:00Z,NA,24,362,NA,Thu,1
2023-12-29T00:00:00Z,NA,24,363,NA,Fri,1
2023-12-30T00:00:00Z,NA,24,364,NA,Sat,0
2023-12-31T00:00:00Z,NA,24,365,NA,Sun,0
